trade_id,timestamp,arbitrage_type,net_profit_per_share,trade_size,total_net_profit,fees_paid,market_a,platform_a,side_a,avg_price_a,market_b,platform_b,side_b,avg_price_b
149,2025-07-06T02:03:18.350109+00:00,same_outcome,0.0400,2.00,0.08,0.02,Houston vs Los Angeles (LAD),Polymarket,BUY,0.0700,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1200
150,2025-07-06T02:03:19.292274+00:00,same_outcome,0.1092,191.00,20.86,2.06,Houston vs Los Angeles (LAD),Polymarket,BUY,0.0700,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1900
151,2025-07-06T02:03:19.352859+00:00,same_outcome,0.0900,62.00,5.58,0.62,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8300,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
152,2025-07-06T02:03:19.355195+00:00,same_outcome,0.1187,62.00,7.36,0.70,Houston vs Los Angeles (LAD),Polymarket,BUY,0.0700,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2000
153,2025-07-06T02:03:19.391187+00:00,same_outcome,0.0997,201.00,20.03,2.08,Houston vs Los Angeles (LAD),Polymarket,BUY,0.0700,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1800
154,2025-07-06T02:03:19.391587+00:00,same_outcome,0.0805,100.00,8.05,0.95,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8400,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
155,2025-07-06T02:03:19.409004+00:00,same_outcome,0.0901,201.00,18.11,1.99,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8300,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
156,2025-07-06T02:03:19.430337+00:00,same_outcome,0.0901,386.00,34.78,3.82,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8300,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
157,2025-07-06T02:03:19.471080+00:00,same_outcome,0.0900,7.00,0.63,0.07,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8300,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
158,2025-07-06T02:03:19.471523+00:00,same_outcome,0.0426,100.00,4.26,0.74,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8800,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
159,2025-07-06T02:03:19.472851+00:00,same_outcome,0.0426,100.00,4.26,0.74,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8800,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
160,2025-07-06T02:03:19.473989+00:00,same_outcome,0.0520,100.00,5.20,0.80,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8700,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
161,2025-07-06T02:03:19.490776+00:00,same_outcome,0.0710,100.00,7.10,0.90,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8500,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
162,2025-07-06T02:03:19.550752+00:00,same_outcome,0.0680,10.00,0.68,0.12,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1200,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2000
163,2025-07-06T02:03:19.551168+00:00,same_outcome,0.0197,62.00,1.22,0.62,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8300,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8597
164,2025-07-06T02:03:19.572254+00:00,same_outcome,0.0432,62.00,2.68,0.70,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1455,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2000
165,2025-07-06T02:03:20.729344+00:00,same_outcome,0.0287,62.00,1.78,0.70,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1600,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2000
166,2025-07-06T02:03:20.833113+00:00,same_outcome,0.0287,62.00,1.78,0.70,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1600,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2000
167,2025-07-06T02:03:20.890852+00:00,same_outcome,0.0190,10.00,0.19,0.11,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1600,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1900
168,2025-07-06T02:03:21.472815+00:00,same_outcome,0.0192,62.00,1.19,0.67,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1600,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1900
169,2025-07-06T02:03:22.512305+00:00,same_outcome,0.0124,172.96,2.14,1.82,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8164,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8393
170,2025-07-06T02:03:33.869852+00:00,same_outcome,0.0119,1595.00,19.06,14.24,Houston vs Los Angeles (LAD),Kalshi,BUY,0.1500,Houston vs Los Angeles (LAD),Polymarket,SELL,0.1709
171,2025-07-06T02:03:36.668827+00:00,same_outcome,0.0200,4.00,0.08,0.04,Houston vs Los Angeles (LAD),Kalshi,BUY,0.1500,Houston vs Los Angeles (LAD),Polymarket,SELL,0.1800
172,2025-07-06T02:05:54.639720+00:00,same_outcome,0.0600,1.00,0.06,0.02,Texas vs San Diego (TEX),Polymarket,BUY,0.4400,Texas vs San Diego (TEX),Kalshi,SELL,0.5200
173,2025-07-06T02:08:03.681501+00:00,same_outcome,0.0165,257.00,4.25,3.38,Chicago vs Colorado (CWS),Polymarket,BUY,0.7200,Chicago vs Colorado (CWS),Kalshi,SELL,0.7497
174,2025-07-06T02:08:23.777875+00:00,same_outcome,0.0078,1359.17,10.65,0.95,Houston vs Los Angeles (HOU),Polymarket,BUY,0.9815,Houston vs Los Angeles (HOU),Kalshi,SELL,0.9900
175,2025-07-06T02:08:23.856199+00:00,same_outcome,0.0078,1359.17,10.65,0.95,Houston vs Los Angeles (LAD),Kalshi,BUY,0.0100,Houston vs Los Angeles (LAD),Polymarket,SELL,0.0185
176,2025-07-06T02:08:25.614951+00:00,same_outcome,0.0036,1358.13,4.87,0.95,Houston vs Los Angeles (LAD),Kalshi,BUY,0.0100,Houston vs Los Angeles (LAD),Polymarket,SELL,0.0143
177,2025-07-06T02:08:25.615685+00:00,same_outcome,0.0036,1358.13,4.87,0.95,Houston vs Los Angeles (HOU),Polymarket,BUY,0.9857,Houston vs Los Angeles (HOU),Kalshi,SELL,0.9900
178,2025-07-06T02:09:44.351080+00:00,same_outcome,0.0007,76.00,0.06,1.10,Chicago vs Colorado (COL),Kalshi,BUY,0.2900,Chicago vs Colorado (COL),Polymarket,SELL,0.3052
179,2025-07-06T02:09:45.769904+00:00,same_outcome,0.0095,76.00,0.72,1.08,Chicago vs Colorado (COL),Kalshi,BUY,0.2800,Chicago vs Colorado (COL),Polymarket,SELL,0.3037
