trade_id,timestamp,arbitrage_type,net_profit_per_share,trade_size,total_net_profit,fees_paid,market_a,platform_a,side_a,avg_price_a,market_b,platform_b,side_b,avg_price_b,,,volume,net_profit_per_share,total net,avg_profit per share
239,2025-07-06T01:41:18.677823+00:00,same_outcome,0.0296,156,4.62,1.62,Houston vs Los Angeles (HOU),Kalshi,BUY,0.82,Houston vs Los Angeles (HOU),Polymarket,SELL,0.86,,,36528.5,0.0296,2134.52,0.058434373
463,2025-07-06T02:19:26.801820+00:00,same_outcome,0.0295,20,0.59,0.21,Chicago vs Colorado (COL),Kalshi,BUY,0.18,Chicago vs Colorado (COL),Polymarket,SELL,0.22,,,36548.5,0.0295,2135.11,0.05841854
261,2025-07-06T01:43:29.792478+00:00,same_outcome,0.0292,435.08,12.71,4.69,Houston vs Los Angeles (HOU),Kalshi,BUY,0.81,Houston vs Los Angeles (HOU),Polymarket,SELL,0.85,,,36983.58,0.0292,2147.82,0.058074962
263,2025-07-06T01:43:29.812370+00:00,same_outcome,0.0292,189.08,5.52,2.04,Houston vs Los Angeles (LAD),Polymarket,BUY,0.15,Houston vs Los Angeles (LAD),Kalshi,SELL,0.19,,,37172.66,0.0292,2153.34,0.057928058
237,2025-07-06T01:41:18.582259+00:00,same_outcome,0.029,10,0.29,0.11,Houston vs Los Angeles (HOU),Kalshi,BUY,0.82,Houston vs Los Angeles (HOU),Polymarket,SELL,0.86,,,37182.66,0.029,2153.63,0.057920278
452,2025-07-06T02:18:00.486055+00:00,same_outcome,0.0288,1187.49,34.2,13.3,Chicago vs Colorado (COL),Polymarket,BUY,0.16,Chicago vs Colorado (COL),Kalshi,SELL,0.2,,,38370.15,0.0288,2187.83,0.057019063
277,2025-07-06T01:44:36.576143+00:00,same_outcome,0.0284,55,1.56,0.64,Houston vs Los Angeles (LAD),Polymarket,BUY,0.17,Houston vs Los Angeles (LAD),Kalshi,SELL,0.21,,,38425.15,0.0284,2189.39,0.056978047
175,2025-07-06T01:33:03.563237+00:00,same_outcome,0.0283,109,3.09,1.27,Houston vs Los Angeles (HOU),Kalshi,BUY,0.79,Houston vs Los Angeles (HOU),Polymarket,SELL,0.83,,,38534.15,0.0283,2192.48,0.056897064
568,2025-07-06T03:03:07.516035+00:00,same_outcome,0.0282,50,1.41,0.59,Chicago vs Colorado (CWS),Polymarket,BUY,0.75,Chicago vs Colorado (CWS),Kalshi,SELL,0.79,,,38584.15,0.0282,2193.89,0.056859876
459,2025-07-06T02:18:04.264027+00:00,same_outcome,0.0275,16,0.44,0.2,Chicago vs Colorado (CWS),Kalshi,BUY,0.78,Chicago vs Colorado (CWS),Polymarket,SELL,0.82,,,38600.15,0.0275,2194.33,0.056847707
437,2025-07-06T02:09:57.498768+00:00,same_outcome,0.0269,49.43,1.33,0.65,Chicago vs Colorado (CWS),Polymarket,BUY,0.71,Chicago vs Colorado (CWS),Kalshi,SELL,0.75,,,38649.58,0.0269,2195.66,0.056809414
563,2025-07-06T03:03:05.206449+00:00,same_outcome,0.0267,33,0.88,0.44,Chicago vs Colorado (COL),Polymarket,BUY,0.21,Chicago vs Colorado (COL),Kalshi,SELL,0.25,,,38682.58,0.0267,2196.54,0.0567837
158,2025-07-06T01:31:01.703909+00:00,same_outcome,0.0262,8,0.21,0.11,Houston vs Los Angeles (LAD),Polymarket,BUY,0.2,Houston vs Los Angeles (LAD),Kalshi,SELL,0.24,,,38690.58,0.0262,2196.75,0.056777386
53,2025-07-06T00:43:00.221348+00:00,same_outcome,0.0256,279,7.13,4.03,Detroit vs Cleveland (CLE),Kalshi,BUY,0.29,Detroit vs Cleveland (CLE),Polymarket,SELL,0.33,,,38969.58,0.0256,2203.88,0.056553856
54,2025-07-06T00:43:00.221903+00:00,same_outcome,0.0256,279,7.13,4.03,Detroit vs Cleveland (DET),Polymarket,BUY,0.67,Detroit vs Cleveland (DET),Kalshi,SELL,0.71,,,39248.58,0.0256,2211.01,0.056333503
482,2025-07-06T02:25:24.487073+00:00,same_outcome,0.0254,37,0.94,0.54,Chicago vs Colorado (CWS),Kalshi,BUY,0.71,Chicago vs Colorado (CWS),Polymarket,SELL,0.75,,,39285.58,0.0254,2211.95,0.056304374
536,2025-07-06T02:44:44.523735+00:00,same_outcome,0.0254,100,2.54,0.46,Chicago vs Colorado (COL),Kalshi,BUY,0.07,Chicago vs Colorado (COL),Polymarket,SELL,0.1,,,39385.58,0.0254,2214.49,0.056225908
538,2025-07-06T02:44:44.622077+00:00,same_outcome,0.0254,100,2.54,0.46,Chicago vs Colorado (CWS),Polymarket,BUY,0.9,Chicago vs Colorado (CWS),Kalshi,SELL,0.93,,,39485.58,0.0254,2217.03,0.056147839
431,2025-07-06T02:09:45.769904+00:00,same_outcome,0.0252,14.18,0.36,0.21,Chicago vs Colorado (COL),Kalshi,BUY,0.28,Chicago vs Colorado (COL),Polymarket,SELL,0.32,,,39499.76,0.0252,2217.39,0.056136797
19,2025-07-06T00:34:15.542102+00:00,same_outcome,0.025,10,0.25,0.15,Houston vs Los Angeles (HOU),Kalshi,BUY,0.69,Houston vs Los Angeles (HOU),Polymarket,SELL,0.73,,,39509.76,0.025,2217.64,0.056128916
161,2025-07-06T01:31:01.704960+00:00,same_outcome,0.025,2,0.05,0.03,Houston vs Los Angeles (LAD),Polymarket,BUY,0.2,Houston vs Los Angeles (LAD),Kalshi,SELL,0.24,,,39511.76,0.025,2217.69,0.05612734
388,2025-07-06T02:03:19.573051+00:00,same_outcome,0.025,2,0.05,0.03,Houston vs Los Angeles (LAD),Polymarket,BUY,0.16,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2,,,39513.76,0.025,2217.74,0.056125765
48,2025-07-06T00:42:59.938278+00:00,same_outcome,0.024,5,0.12,0.08,Detroit vs Cleveland (CLE),Kalshi,BUY,0.29,Detroit vs Cleveland (CLE),Polymarket,SELL,0.33,,,39518.76,0.024,2217.86,0.0561217
55,2025-07-06T00:43:00.834952+00:00,same_outcome,0.024,5,0.12,0.08,Detroit vs Cleveland (DET),Polymarket,BUY,0.67,Detroit vs Cleveland (DET),Kalshi,SELL,0.71,,,39523.76,0.024,2217.98,0.056117637
56,2025-07-06T00:43:00.836103+00:00,same_outcome,0.024,5,0.12,0.08,Detroit vs Cleveland (CLE),Kalshi,BUY,0.29,Detroit vs Cleveland (CLE),Polymarket,SELL,0.33,,,39528.76,0.024,2218.1,0.056113574
345,2025-07-06T02:03:11.450234+00:00,same_outcome,0.0237,386,9.14,2.44,Houston vs Los Angeles (HOU),Kalshi,BUY,0.9,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,39914.76,0.0237,2227.24,0.05579991
347,2025-07-06T02:03:11.611079+00:00,same_outcome,0.0237,299,7.08,1.89,Houston vs Los Angeles (HOU),Kalshi,BUY,0.9,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,40213.76,0.0237,2234.32,0.055561082
